Trial ,ID,Sex,Light,Age,EntryZone_nose_freq,Entry_latency,Goal Box 0 Goal Box / Center0point 0 Frequency,Goal Box 0 Goal Box / Center0point 0 Latency to First (s),Target visit errors 0 Nose0point / Total errors 0 Frequency,Quadrants 0 Q1 / Center0point 0 Cumulative Duration (%),Quadrants 0 Q2 / Center0point 0 Q2 / Center0point (%),Quadrants 0 Q3 / Center0point 0 Cumulative Duration (%),Quadrants 0 Q4 / Center0point 0 Q4 / Center0point (%),DistanceMoved_cm
1,1,1,1,2,5,136.9,1,157.1,19,14.3561,27.7264,27.6648,27.4184,1386.96
2,1,1,1,2,1,128.199,0,-,13,30.3977,23.2955,20.8807,19.9574,1271.13
3,1,1,1,2,5,132.199,1,137.799,25,27.2028,11.8881,30.1399,29.021,1468.4
4,1,1,1,2,1,123.8,0,-,2,11.0599,29.1639,18.8282,27.5839,521.888
5,1,1,1,2,3,30.7999,0,-,19,22.5948,12.172,27.9155,36.4431,1002.91
6,1,1,1,2,0,-,0,-,12,28.8967,19.2644,17.8634,33.9755,908.626
1,2,1,1,1,3,88.0999,1,99.7999,22,51.3333,8.66667,8.38095,29.1429,868.655
2,2,1,1,1,2,17.9,1,23.1,4,25.4417,12.3675,5.65371,54.417,232.621
3,2,1,1,1,2,8.79996,1,10.7,2,3.77358,0,10.6918,74.8428,152.343
4,2,1,1,1,4,14.8999,1,68.5997,18,28.9973,6.63957,24.9322,36.3144,857.155
5,2,1,1,1,2,7.99997,1,10.6,4,15.8228,0,0,60.1266,108.596
6,2,1,1,1,1,11.8,0,0,20,22.7671,19.965,18.4764,38.7916,1823.09
1,3,1,2,1,2,122.2,1,129.299,13,1.56134,1.56134,30.7063,63.8662,568.938
2,3,1,2,1,3,126.399,1,127.699,21,25.9594,13.6193,29.1949,30.3236,1597.06
3,3,1,2,1,2,101.1,1,103.3,12,15.1152,5.62212,41.659,34.5622,974.415
4,3,1,2,1,3,54.9998,1,60.7998,1,11.9697,36.2121,28.0303,18.7879,334.95
5,3,1,2,1,2,4.59998,1,7.39997,3,0,0,0,67.4603,39.4614
6,3,1,2,1,7,1.19999,0,0,30,3.59019,19.0893,21.2785,56.042,1340.19
1,4,1,1,2,29,132.799,9,145.499,35,7.01702,11.6154,4.00119,66.5273,1005.19
2,4,1,1,2,5,40.0998,1,51.5998,3,21.6549,41.5493,0,34.8592,246.938
3,4,1,1,2,3,37.1999,1,45.7998,4,9.80392,9.01961,38.6275,35.6863,304.662
4,4,1,1,2,1,133.099,0,-,7,29.1132,9.80163,25.6126,35.4726,723.024
5,4,1,1,2,3,122.5,2,128.799,5,11.9565,1.29076,39.2663,40.6929,489.74
6,4,1,1,2,0,-,0,-,2,37.1609,6.14828,12.4774,44.2134,327.917
1,5,1,2,1,4,77.6999,1,89.4999,12,49.208,3.59029,9.08131,34.3189,467.357
2,5,1,2,1,3,4.19998,1,6.59997,2,0,0,0,95.7627,31.6267
3,5,1,2,1,4,98.6999,1,105,14,19.2377,18.4211,14.9728,44.0109,596.182
